plan_id,carrier,plan_name,monthly_fee,data_gb,is_unlimited,voice_min,sms_count,qos_speed,category,benefits
쉐이크모바일_LTE_01,쉐이크모바일,"[모요핫딜] 2월한정 쉐이크 LTE 100GB+_네이버페이 매월 5,000원(평생)",17000,100.0,1,999,999,5Mbps,LTE,"정상가 47,300원, 할인 7개월, 네이버페이 매월 5,000P 제공, [2월 한정] 네이버페이 10,000원, 매월 1천원 요금할인 (팝테일 가입·인증), 3대 마트 상품권 2만원, SOLO결합(+20GB), 평점 4.3"
이지모바일_LTE_01,이지모바일,[모요핫딜]EG 핫딜 100GB+5M(밀리의 서재),17000,100.0,1,999,999,5Mbps,LTE,"정상가 44,000원, 할인 7개월, 밀리의 서재 이용권 제공, [모요핫딜] 네이버페이 10,000원, 5대 마트 상품권 2만원, 일반유심/배송비 무료, 평점 4.3"
KG모바일_LTE_01,KG모바일,"[KG모바일 스페셜2] 통화, 데이터 마음대로 100GB+",17000,100.0,1,999,999,5Mbps,LTE,"정상가 47,300원, 할인 7개월, 네이버페이 10,000원, 일반 유심/배송비 무료, 평점 4.6"
스마텔_LTE_01,스마텔,[모요only] [모요핫딜] 스마트 100GB+,17000,100.0,1,999,999,5Mbps,LTE,"정상가 47,300원, 할인 7개월, [26년 2월 한정] 네이버페이 10,000원, 평점 4.2"
이야기모바일_LTE_01,이야기모바일,[모요핫딜] 이야기 완전 무제한 100GB+,17000,100.0,1,999,999,5Mbps,LTE,"정상가 49,500원, 할인 7개월, 네이버페이 5,000원, 네이버페이 10,000P 제공, 평점 4.5"
고고모바일_LTE_01,고고모바일,[모요핫딜] LTE 무제한 11GB+3M(밀리의서재 Free)_2월,14000,60.0,1,999,999,3Mbps,LTE,"정상가 37,400원, 할인 7개월, 밀리의 서재 구독권(11,900원 상당) 제공, 네이버페이 10,000P 제공, 3대 마트 상품권 2만원, 추가데이터 20GB 제공, KT유심&배송비 무료, 평점 4.2"
핀다이렉트_LTE_01,핀다이렉트,[모요핫딜] [S] 핀다이렉트Z _2602,14080,60.0,1,999,999,3Mbps,LTE,"정상가 39,600원, 할인 7개월, 네이버페이 10,000P 제공, SKT 데이터 결합 (추가데이터 20GB), 평점 4.2"
찬스모바일_LTE_01,찬스모바일,[모요핫딜]음성기본 11GB+일2GB+3Mbps,14000,60.0,1,999,999,3Mbps,LTE,"정상가 38,500원, 할인 7개월, [모요핫딜]네이버페이 10,000P, 유심/배송비 무료, 평점 4.5"
이야기모바일_LTE_02,이야기모바일,희망더하기 11GB,14000,60.0,1,999,999,3Mbps,LTE,"정상가 39,600원, 할인 7개월, 네이버페이 5,000원, 평점 4.5"
모나_LTE_01,모나,모나기본4.5G안심1+,2530,4.5,1,999,999,1Mbps,LTE,"정상가 29,700원, 할인 10개월,  NFC 유심 무료 제공, 4대 편의점 최대 10.1%적립, 평점 4.4"
이지모바일_LTE_02,이지모바일,[모요핫딜]EG 핫딜 7G+1(밀리의 서재),13000,7.0,1,999,999,1Mbps,LTE,"정상가 22,000원, 할인 12개월, 밀리의 서재 이용권 제공, [모요핫딜] 네이버페이 10,000원, 5대 마트 상품권 2만원, 일반유심/배송비 무료, 평점 4.3"
이지모바일_LTE_03,이지모바일,이지 쓰는만큼 4.5G+1,50,4.5,1,999,999,1Mbps,LTE,"정상가 16,500원, 할인 6개월, 일반유심/배송비 무료, 평점 4.3"
스마텔_LTE_02,스마텔,USIM 스마트 4.5GB+,5500,4.5,1,999,999,1Mbps,LTE,"정상가 16,500원, 할인 12개월, 평점 4.2"
인스모바일_LTE_01,인스모바일,올프리 4.5GB+(USIM),110,4.5,1,999,999,1Mbps,LTE,"정상가 19,800원, 할인 6개월, 평점 4.4"
